order_id,order_date,customer_id,customer_type,city,category,product_name,quantity,unit_price,discount_pct,revenue,channel,payment_method,order_status
10001,2025-01-01,CUST3034,New,Jaipur,Electronics,Laptop Stand,1,55.47,0,55.47,Organic Search,Debit Card,Delivered
10002,2025-01-01,CUST2873,New,Jaipur,Electronics,Webcam,1,87.09,10,78.38,Paid Ads,Debit Card,Delivered
10003,2025-01-01,CUST3921,New,Pune,Sports,Resistance Bands,2,26.91,0,53.82,Organic Search,Debit Card,Delivered
10004,2025-01-01,CUST3986,New,Kolkata,Electronics,Laptop Stand,2,99.73,5,189.49,Organic Search,Debit Card,Delivered
10005,2025-01-01,CUST0934,Returning,Hyderabad,Sports,Foam Roller,1,39.66,0,39.66,Referral,Wallet,Cancelled
10006,2025-01-01,CUST0859,Returning,Hyderabad,Apparel,Belt,1,31.5,0,31.5,Social Media,UPI,Delivered
10007,2025-01-01,CUST3791,New,Jaipur,Home & Garden,Mug Set,2,26.54,0,53.08,Organic Search,Debit Card,Returned
10008,2025-01-01,CUST3741,New,Surat,Electronics,Wireless Earbuds,2,75.09,0,150.18,Direct,Debit Card,Delivered
10009,2025-01-01,CUST2208,Returning,Hyderabad,Apparel,Belt,1,23.17,10,20.85,Social Media,Debit Card,Delivered
10010,2025-01-01,CUST0450,Returning,Bangalore,Electronics,Phone Case,1,51.82,0,51.82,Social Media,Net Banking,Delivered
10011,2025-01-01,CUST2267,Returning,Mumbai,Electronics,Power Bank,1,80.1,0,80.1,Social Media,Credit Card,Cancelled
10012,2025-01-01,CUST3907,New,Hyderabad,Home & Garden,Storage Box,1,37.39,0,37.39,Referral,Net Banking,Delivered
10013,2025-01-01,CUST1532,Returning,Bangalore,Electronics,Laptop Stand,2,83.07,0,166.14,Paid Ads,Net Banking,Delivered
10014,2025-01-01,CUST3407,New,Hyderabad,Electronics,Bluetooth Speaker,1,53.39,0,53.39,Organic Search,Credit Card,Delivered
10015,2025-01-01,CUST0516,Returning,Bangalore,Electronics,Screen Protector,2,118.35,5,224.86,Social Media,COD,Delivered
10016,2025-01-01,CUST2990,New,Chennai,Apparel,Polo Shirt,1,25.84,5,24.55,Social Media,Debit Card,Returned
10017,2025-01-01,CUST0087,Returning,Surat,Electronics,Webcam,1,63.59,0,63.59,Social Media,UPI,Delivered
10018,2025-01-01,CUST0291,Returning,Jaipur,Home & Garden,Desk Lamp,1,56.22,15,47.79,Organic Search,UPI,Delivered
10019,2025-01-01,CUST1668,Returning,Chennai,Electronics,Keyboard,1,63.22,0,63.22,Organic Search,UPI,Delivered
10020,2025-01-01,CUST1650,Returning,Pune,Apparel,T-Shirt,2,54.41,0,108.82,Email,Credit Card,Delivered
10021,2025-01-01,CUST3782,New,Delhi,Apparel,Hoodie,1,28.31,0,28.31,Paid Ads,Wallet,Delivered
10022,2025-01-01,CUST3477,New,Chennai,Electronics,Webcam,2,117.67,15,200.04,Organic Search,Debit Card,Delivered
10023,2025-01-01,CUST3796,New,Ahmedabad,Apparel,T-Shirt,1,18.08,0,18.08,Organic Search,UPI,Returned
10024,2025-01-01,CUST2373,Returning,Jaipur,Sports,Running Belt,1,25.38,20,20.3,Organic Search,Debit Card,Delivered
10025,2025-01-01,CUST0762,Returning,Delhi,Apparel,Shorts,1,53.55,0,53.55,Social Media,UPI,Delivered
10026,2025-01-01,CUST1718,Returning,Surat,Electronics,Keyboard,1,89.59,5,85.11,Social Media,Debit Card,Delivered
10027,2025-01-01,CUST1229,Returning,Ahmedabad,Home & Garden,Storage Box,1,35.83,5,34.04,Paid Ads,Net Banking,Delivered
10028,2025-01-01,CUST1087,Returning,Bangalore,Apparel,Polo Shirt,3,20.71,0,62.13,Direct,Wallet,Cancelled
10029,2025-01-02,CUST3306,New,Jaipur,Electronics,Screen Protector,2,97.77,5,185.76,Organic Search,Net Banking,Delivered
10030,2025-01-02,CUST0637,Returning,Hyderabad,Home & Garden,Plant Pot,1,55.59,10,50.03,Organic Search,Credit Card,Delivered
10031,2025-01-02,CUST0209,Returning,Delhi,Home & Garden,Throw Pillow,1,30.04,15,25.53,Social Media,Net Banking,Delivered
10032,2025-01-02,CUST2260,Returning,Kolkata,Electronics,Phone Case,1,64.65,10,58.19,Social Media,Credit Card,Cancelled
10033,2025-01-02,CUST0607,Returning,Kolkata,Home & Garden,Plant Pot,1,53.38,5,50.71,Organic Search,Debit Card,Cancelled
10034,2025-01-02,CUST0422,Returning,Pune,Sports,Yoga Mat,2,22.35,0,44.7,Email,Wallet,Delivered
10035,2025-01-02,CUST3277,New,Bangalore,Home & Garden,Plant Pot,3,29.47,0,88.41,Direct,Credit Card,Returned
10036,2025-01-02,CUST1093,Returning,Bangalore,Electronics,Power Bank,2,109.8,10,197.64,Email,Credit Card,Cancelled
10037,2025-01-02,CUST3361,New,Chennai,Sports,Gym Gloves,1,47.15,0,47.15,Organic Search,UPI,Delivered
10038,2025-01-02,CUST1638,Returning,Jaipur,Electronics,Smart Watch,3,65.93,5,187.9,Paid Ads,Credit Card,Cancelled
10039,2025-01-02,CUST1780,Returning,Pune,Electronics,Keyboard,3,64.91,0,194.73,Social Media,Debit Card,Delivered
10040,2025-01-02,CUST1787,Returning,Mumbai,Apparel,Socks,2,25.03,0,50.06,Paid Ads,Net Banking,Returned
10041,2025-01-02,CUST1353,Returning,Surat,Beauty,Shampoo,1,11.75,5,11.16,Paid Ads,Net Banking,Returned
10042,2025-01-02,CUST2271,Returning,Bangalore,Electronics,Laptop Stand,2,69.46,5,131.97,Organic Search,UPI,Delivered
10043,2025-01-02,CUST0002,Returning,Hyderabad,Home & Garden,Plant Pot,1,32.04,5,30.44,Organic Search,Debit Card,Delivered
10044,2025-01-02,CUST3252,New,Bangalore,Home & Garden,Photo Frame,1,47.03,5,44.68,Social Media,Debit Card,Delivered
10045,2025-01-02,CUST0921,Returning,Chennai,Home & Garden,Candle Set,2,50.05,5,95.09,Organic Search,Credit Card,Cancelled
10046,2025-01-02,CUST2943,New,Kolkata,Home & Garden,Candle Set,1,55.45,5,52.68,Paid Ads,Credit Card,Delivered
10047,2025-01-02,CUST2851,New,Jaipur,Electronics,Smart Watch,2,61.41,10,110.54,Paid Ads,UPI,Cancelled
10048,2025-01-02,CUST2439,Returning,Pune,Electronics,Phone Case,2,95.07,20,152.11,Referral,Wallet,Delivered
10049,2025-01-02,CUST0652,Returning,Ahmedabad,Home & Garden,Mug Set,1,56.27,0,56.27,Paid Ads,Net Banking,Cancelled
10050,2025-01-02,CUST2923,New,Hyderabad,Electronics,Webcam,1,62.94,0,62.94,Organic Search,Debit Card,Cancelled
10051,2025-01-02,CUST0264,Returning,Kolkata,Electronics,Phone Case,1,97.05,10,87.34,Paid Ads,UPI,Delivered
10052,2025-01-03,CUST3510,New,Surat,Sports,Protein Shaker,3,35.44,5,101.0,Paid Ads,Credit Card,Delivered
10053,2025-01-03,CUST3678,New,Chennai,Home & Garden,Door Mat,1,49.39,10,44.45,Paid Ads,Credit Card,Delivered
10054,2025-01-03,CUST2549,New,Jaipur,Apparel,Socks,2,49.1,15,83.47,Organic Search,Debit Card,Delivered
10055,2025-01-03,CUST1553,Returning,Pune,Electronics,Power Bank,1,79.63,0,79.63,Organic Search,Debit Card,Returned
10056,2025-01-03,CUST2210,Returning,Mumbai,Electronics,Power Bank,1,51.14,0,51.14,Referral,Debit Card,Delivered
10057,2025-01-03,CUST0084,Returning,Surat,Sports,Yoga Mat,2,48.24,0,96.48,Organic Search,Credit Card,Returned
10058,2025-01-03,CUST2482,Returning,Surat,Apparel,Sneakers,1,27.48,0,27.48,Referral,UPI,Returned
10059,2025-01-03,CUST2775,New,Kolkata,Electronics,Laptop Stand,1,46.93,0,46.93,Paid Ads,UPI,Delivered
10060,2025-01-03,CUST2460,Returning,Delhi,Home & Garden,Wall Clock,1,50.9,15,43.27,Email,UPI,Delivered
10061,2025-01-03,CUST1721,Returning,Ahmedabad,Apparel,Jacket,1,41.96,0,41.96,Organic Search,COD,Delivered
10062,2025-01-03,CUST1107,Returning,Surat,Sports,Resistance Bands,1,40.68,20,32.54,Email,UPI,Delivered
10063,2025-01-03,CUST0355,Returning,Hyderabad,Apparel,Polo Shirt,1,49.51,10,44.56,Direct,Credit Card,Delivered
10064,2025-01-03,CUST1998,Returning,Chennai,Home & Garden,Door Mat,1,39.77,0,39.77,Paid Ads,Credit Card,Delivered
10065,2025-01-03,CUST0989,Returning,Kolkata,Apparel,Cap,1,37.12,0,37.12,Paid Ads,Net Banking,Returned
10066,2025-01-03,CUST1657,Returning,Chennai,Home & Garden,Photo Frame,1,20.69,0,20.69,Paid Ads,UPI,Delivered
10067,2025-01-03,CUST1859,Returning,Hyderabad,Apparel,Socks,3,38.36,0,115.08,Paid Ads,Credit Card,Returned
10068,2025-01-03,CUST3026,New,Ahmedabad,Electronics,Webcam,3,96.76,0,290.28,Organic Search,UPI,Returned
10069,2025-01-03,CUST1239,Returning,Mumbai,Apparel,Jeans,2,28.96,0,57.92,Social Media,Credit Card,Delivered
10070,2025-01-03,CUST2011,Returning,Delhi,Electronics,Laptop Stand,2,54.47,15,92.6,Direct,UPI,Delivered
10071,2025-01-03,CUST0468,Returning,Delhi,Apparel,Hoodie,3,27.34,15,69.72,Paid Ads,Credit Card,Delivered
10072,2025-01-03,CUST1017,Returning,Delhi,Electronics,Phone Case,2,116.18,0,232.36,Social Media,Debit Card,Delivered
10073,2025-01-03,CUST2411,Returning,Kolkata,Home & Garden,Mug Set,1,56.34,0,56.34,Paid Ads,UPI,Delivered
